go_struct,type_token,defs_name,discriminator,variant_when,embeds,fragment,deprecated,corpus_instances,corpus_prod_instances,exemplar_file,exemplar_path,doc_ref,harness,description,notes
ChannelSpec,*,ChannelSpec,-,-,-,yes,no,129,126,workspaces/cedargate_ws/pipes_config/anonymize_file.pc.json,channels.0,jets/compute_pipes/pipes_model.go:271,pass,Shared configuration of the row structure of the input and output channels.,-
ColumnEncodingSpec,*,ColumnEncodingSpec,-,-,-,yes,no,4,4,workspaces/jets_ws/pipes_config/patient_profile.pc.json,channels.4.column_encodings.0,jets/compute_pipes/pipes_model.go:291,pass,JetRules configuration for encoding entity from rule session into an output column,-
PromptTemplateSpec,*,PromptTemplateSpec,-,-,-,yes,no,1,1,workspaces/jets_ws/pipes_config/patient_profile.pc.json,prompt_templates.0,jets/compute_pipes/pipes_model.go:1205,pass,Shared configuration of prompt templates.,-
ContextSpec,file_key_component,ContextSpec,type,-,-,yes,no,9,9,workspaces/cedargate_ws/pipes_config/qc_TEMPLATE.pc.json,context.0,jets/compute_pipes/pipes_model.go:299,pass,Define env var sourced from the pipeline main file key directory name with pattern expr=value,"The model expresses this struct as one class rather than one per token, so the $defs key is the struct itself; defs_name records what the schema calls it rather than what the mechanical rule would."
ContextSpec,partfile_key_component,ContextSpec,type,-,-,yes,no,9,9,workspaces/cedargate_ws/pipes_config/qc_TEMPLATE.pc.json,context.4,jets/compute_pipes/pipes_model.go:299,pass,Define env var sourced from file-level directory name with pattern expr=key,"The model expresses this struct as one class rather than one per token, so the $defs key is the struct itself; defs_name records what the schema calls it rather than what the mechanical rule would."
ContextSpec,value,ContextSpec,type,-,-,yes,no,38,38,workspaces/cedargate_ws/pipes_config/qc_TEMPLATE.pc.json,context.1,jets/compute_pipes/pipes_model.go:299,pass,Define env var source from a string. The value may be overriden by a schema provider.,"The model expresses this struct as one class rather than one per token, so the $defs key is the struct itself; defs_name records what the schema calls it rather than what the mechanical rule would."
SchemaProviderSpec,default,SchemaProviderSpecDefault,type,-,FileConfig,yes,no,13,13,workspaces/cedargate_ws/pipes_config/anonymize_file.pc.json,schema_providers.0,jets/compute_pipes/pipes_model.go:361,pass,"Schema Provider configuration, this is use to provide runtime configuration to pipeline or as event to start pipelines.","The draft exemplar was under workspaces/*/data/, which is not the corpus; schema provider documents are not .pc.json configs, so the pipes corpus holds no instance."
SchemaProviderSpec,pipeline_coordinator_map,SchemaProviderSpecPipelineCoordinatorMap,type,-,FileConfig,yes,no,0,0,-,-,jets/compute_pipes/pipes_model.go:361,pass,Define specialized schema provider to start parallel pipelines with a post pipeline,Same as SchemaProviderSpec/default: no exemplar in the pipes corpus.
ConditionalPipeSpec,*,ConditionalPipeSpec,-,-,-,yes,no,107,105,workspaces/cedargate_ws/pipes_config/anonymize_file.pc.json,conditional_pipes_config.0,jets/compute_pipes/pipes_model.go:580,pass,"Define a stage of a pipeline execution consisting of a compute pipes, executed conditionally.",-
ExpressionNode,~unary,ExpressionNode,type,present(arg),-,yes,no,57,57,workspaces/cedargate_ws/pipes_config/deid.pc.json,conditional_pipes_config.1.pipes_config.1.apply.0.columns.0.case_expr.2.when.lhs.lhs,jets/compute_pipes/pipes_model.go:1467,pass,Unary operator expression: op arg.,"Structural variant: arg set means unary and requires op (eval_expression.go:209). Tested first, mirroring the dispatch order of BuildExprNodeEvaluator. B.12 (2026-08-16): the merged class docstring - the shape story and the recursion depth guidance (corpus max 8 levels, prompts bound at 12) - lives in generate.MERGED_DOC and the model; the schema cannot bound the recursion and the bound belongs to the prompt."
ExpressionNode,~binary,ExpressionNode,type,present(lhs),-,yes,no,1066,1066,workspaces/cedargate_ws/pipes_config/anonymize_file.pc.json,conditional_pipes_config.0.pipes_config.0.apply.0.when,jets/compute_pipes/pipes_model.go:1467,pass,Binary operator expression: lhs op rhs.,"Structural variant: lhs set means binary and requires rhs and op (eval_expression.go:228). Tested after ~unary, mirroring the dispatch order of BuildExprNodeEvaluator."
ExpressionNode,select,ExpressionNode,type,-,-,yes,no,806,806,workspaces/cedargate_ws/pipes_config/anonymize_file.pc.json,conditional_pipes_config.1.pipes_config.1.apply.0.columns.0.case_expr.0.when.lhs,jets/compute_pipes/pipes_model.go:1467,pass,Select from channel row by column position or name.,"The model expresses this struct as one class rather than one per token, so the $defs key is the struct itself; defs_name records what the schema calls it rather than what the mechanical rule would."
ExpressionNode,value,ExpressionNode,type,-,-,yes,no,626,626,workspaces/cedargate_ws/pipes_config/anonymize_file.pc.json,conditional_pipes_config.0.pipes_config.0.apply.0.when.lhs,jets/compute_pipes/pipes_model.go:1467,pass,Static value expression,"The model expresses this struct as one class rather than one per token, so the $defs key is the struct itself; defs_name records what the schema calls it rather than what the mechanical rule would."
ExpressionNode,expr_proxy,ExpressionNode,type,-,-,yes,no,1,1,workspaces/cedargate_ws/pipes_config/deid.pc.json,conditional_pipes_config.0.pipes_config.0.apply.0.conditional_config.0.then.filter_config.when,jets/compute_pipes/pipes_model.go:1467,pass,Expression defined as a json string,"The model expresses this struct as one class rather than one per token, so the $defs key is the struct itself; defs_name records what the schema calls it rather than what the mechanical rule would."
ExpressionNode,function,ExpressionNode,type,-,-,yes,no,2,2,workspaces/cedargate_ws/pipes_config/deid.pc.json,conditional_pipes_config.1.pipes_config.1.apply.0.columns.0.case_expr.10.when.rhs.rhs.rhs.rhs.lhs.rhs.lhs,jets/compute_pipes/pipes_model.go:1467,pass,Function call expression,"The model expresses this struct as one class rather than one per token, so the $defs key is the struct itself; defs_name records what the schema calls it rather than what the mechanical rule would."
ExpressionNode,static_list,ExpressionNode,type,-,-,yes,no,53,53,workspaces/cedargate_ws/pipes_config/anonymize_file.pc.json,conditional_pipes_config.1.pipes_config.1.apply.0.columns.0.case_expr.13.when.rhs.rhs,jets/compute_pipes/pipes_model.go:1467,pass,"Static list of values, the required rhs of the in and in_no_case operators.",Never a standalone expression: only valid as the rhs of in and in_no_case (eval_expression.go:234).
ConditionalEnvVariable,*,ConditionalEnvVariable,-,-,-,yes,no,2,2,workspaces/cedargate_ws/pipes_config/anonymize_file.pc.json,conditional_pipes_config.3.addl_env.0,jets/compute_pipes/pipes_model.go:590,pass,Add env variables using case-else conditions on env variables,-
CaseEnvExpression,*,CaseEnvExpression,-,-,-,yes,no,2,2,workspaces/cedargate_ws/pipes_config/anonymize_file.pc.json,conditional_pipes_config.3.addl_env.0.case_expr.0,jets/compute_pipes/pipes_model.go:595,pass,Case expression as when-then using env variables,-
PipeSpec,fan_out,PipeSpecFanOut,type,-,-,yes,no,223,217,workspaces/cedargate_ws/pipes_config/anonymize_file.pc.json,conditional_pipes_config.0.pipes_config.0,jets/compute_pipes/pipes_model.go:553,pass,A pipe applying one or more transformations to the records of one input channel.,-
PipeSpec,merge_files,PipeSpecMergeFiles,type,-,-,yes,no,18,18,workspaces/cedargate_ws/pipes_config/anonymize_file.pc.json,conditional_pipes_config.6.pipes_config.0,jets/compute_pipes/pipes_model.go:553,pass,A pipe merging the partition files of a stage channel into one output file.,-
PipeSpec,splitter,PipeSpecSplitter,type,-,-,yes,no,92,92,workspaces/cedargate_ws/pipes_config/anonymize_file.pc.json,conditional_pipes_config.3.pipes_config.2,jets/compute_pipes/pipes_model.go:553,pass,"A pipe splitting the records of one input channel into partitions, then applying its transformations to each partition.","defs_name is SplitterPipeSpec and not SplitterSpec: SplitterSpec is the config struct below, a different type. The collision is the argument for the mechanical naming rule rather than against it."
InputChannelConfig,memory,InputChannelConfigMemory,type,-,FileConfig,yes,no,171,168,workspaces/cedargate_ws/pipes_config/anonymize_file.pc.json,conditional_pipes_config.1.pipes_config.1.input_channel,jets/compute_pipes/pipes_model.go:753,pass,In memory channel chaining two compute pipes.,-
InputChannelConfig,input,InputChannelConfigInput,type,-,FileConfig,yes,no,38,36,workspaces/cedargate_ws/pipes_config/anonymize_file.pc.json,conditional_pipes_config.0.pipes_config.0.input_channel,jets/compute_pipes/pipes_model.go:753,pass,Input channel (source) of the first compute pipe in a chain.,-
InputChannelConfig,stage,InputChannelConfigStage,type,-,FileConfig,yes,no,135,133,workspaces/cedargate_ws/pipes_config/anonymize_file.pc.json,conditional_pipes_config.1.pipes_config.0.input_channel,jets/compute_pipes/pipes_model.go:753,pass,Reads the partition files written to the stage location by an earlier step.,"FileConfig is embedded anonymously, so its 43 fields are promoted to this type on the wire. They belong to this type's rows with declared_in=FileConfig."
InputChannelConfig,generator,InputChannelConfigGenerator,type,-,FileConfig,yes,no,1,1,workspaces/cedargate_ws/pipes_config/anonymize_file.pc.json,conditional_pipes_config.2.pipes_config.0.input_channel,jets/compute_pipes/pipes_model.go:753,pass,Input channel (source) that generate rows based on count.,-
SplitterSpec,standard,SplitterSpecStandard,type,-,-,yes,no,92,92,workspaces/cedargate_ws/pipes_config/anonymize_file.pc.json,conditional_pipes_config.3.pipes_config.2.splitter_config,jets/compute_pipes/pipes_model.go:601,pass,Creates one partition per distinct value of the split key.,"90/90 live splitter_config nodes are this token and not one of them writes `type`. The discriminator is defaulted, so it is absent from the wire; the walker types these rows from the default recorded on the field row."
SplitterSpec,ext_count,SplitterSpecExtCount,type,-,-,yes,no,0,0,-,-,jets/compute_pipes/pipes_model.go:601,pass,"Creates one partition per distinct value of the split key, subdivided so that no partition holds more than partition_row_count rows.","Zero live instances. A token the code supports and no config uses: the schema must still emit it, the fragment library has no part for it, and the review has only the code to go on."
HashExpression,*,HashExpression,-,-,-,yes,no,72,72,workspaces/cedargate_ws/pipes_config/anonymize_file.pc.json,conditional_pipes_config.3.pipes_config.2.splitter_config.shard_on,jets/compute_pipes/pipes_model.go:1416,pass,Configuration for hashing values from columns.,-
MergeFileSpec,*,MergeFileSpec,-,-,-,yes,no,3,3,workspaces/cedargate_ws/pipes_config/anonymize_file.pc.json,conditional_pipes_config.7.pipes_config.0.merge_file_config,jets/compute_pipes/pipes_model.go:567,pass,Configuration for merging multiple part files into a single output.,-
TransformationSpec,ollama,TransformationSpecOllama,type,-,-,yes,no,0,0,-,-,jets/compute_pipes/pipes_model.go:614,pass,Calls the infer server once per record and augments the record in place with values extracted from the model response.,"One live instance, added 2026-08-08 - the analysis and the plan both record ollama at zero, measured 2026-08-06 over a corpus that also included the retired configs. See I-12. Exemplar blanked 2026-09-10 (agentic_ai I-598). It named patient_profile's infer step, which became type: infer on 2026-09-05; the path no longer resolves to an ollama step and there is no ollama instance anywhere in the corpus - corpus_instances is 0 and honest. Blanked rather than re-pointed because 28 of the 30 zero-instance types already carry '-' and these two were the only exceptions, so the file's own convention decides it."
TransformationSpec,embed,TransformationSpecEmbed,type,-,-,yes,no,0,0,-,-,jets/compute_pipes/pipes_model.go:614,pass,Calls the infer server's embeddings endpoint once per record and puts the resulting vector on the record.,"Added 2026-08-20 at L.2. No corpus instance yet: the operator ships before the first config that uses it, so the exemplar columns stay empty and the harness row is the only evidence until one lands."
TransformationSpec,vllm,TransformationSpecVllm,type,-,-,yes,no,0,0,-,-,jets/compute_pipes/pipes_model.go:614,pass,Calls a vLLM server's OpenAI-compatible api once per record and augments the record in place with values extracted from the model response.,"Added 2026-09-04 with item 15b, recorded here 2026-09-05 at AM.3. No corpus instance: the operator ships before the first config that uses it, as the embed token did, so the exemplar columns stay empty and the harness row is the only evidence until one lands."
TransformationSpec,partition_writer,TransformationSpecPartitionWriter,type,-,-,yes,no,147,143,workspaces/cedargate_ws/pipes_config/anonymize_file.pc.json,conditional_pipes_config.0.pipes_config.0.apply.0,jets/compute_pipes/pipes_model.go:614,pass,Writes the records of its input channel to partition files.,-
TransformationSpec,map_record,TransformationSpecMapRecord,type,-,-,yes,no,235,234,workspaces/cedargate_ws/pipes_config/anonymize_file.pc.json,conditional_pipes_config.2.pipes_config.0.apply.0,jets/compute_pipes/pipes_model.go:614,pass,Maps the input record onto the output channel's columns.,-
TransformationSpec,aggregate,TransformationSpecAggregate,type,-,-,yes,no,20,20,workspaces/cedargate_ws/pipes_config/data_profiling.pc.json,conditional_pipes_config.3.pipes_config.0.apply.0,jets/compute_pipes/pipes_model.go:614,pass,Aggregate the input records to a single output record,-
TransformationSpec,analyze,TransformationSpecAnalyze,type,-,-,yes,no,4,4,workspaces/cedargate_ws/pipes_config/anonymize_file.pc.json,conditional_pipes_config.1.pipes_config.0.apply.0,jets/compute_pipes/pipes_model.go:614,pass,"Analyze each columns of the input records, emit a record per column with various metrics to the output channel",-
TransformationSpec,high_freq,TransformationSpecHighFreq,type,-,-,yes,no,1,1,workspaces/cedargate_ws/pipes_config/procedure_codes_extract_v1.pc.json,reducing_pipes_config.0.0.apply.0,jets/compute_pipes/pipes_model.go:614,pass,Analyze selected column and send to output channel their top percentile values,-
TransformationSpec,anonymize,TransformationSpecAnonymize,type,-,-,yes,no,2,2,workspaces/cedargate_ws/pipes_config/anonymize_file.pc.json,conditional_pipes_config.3.pipes_config.0.apply.0,jets/compute_pipes/pipes_model.go:614,pass,Anonymize or de-identify input records using an analysis lookup identifying columns containing sensitive data.,-
TransformationSpec,distinct,TransformationSpecDistinct,type,-,-,yes,no,2,2,workspaces/cedargate_ws/pipes_config/anonymize_file.pc.json,conditional_pipes_config.5.pipes_config.0.apply.0,jets/compute_pipes/pipes_model.go:614,pass,"Filter the input records to retain a single record per composite key value, records sent to the output channel have a distinct composite key.",-
TransformationSpec,shuffling,TransformationSpecShuffling,type,-,-,yes,no,2,2,workspaces/cedargate_ws/pipes_config/anonymize_file.pc.json,conditional_pipes_config.4.pipes_config.0.apply.0,jets/compute_pipes/pipes_model.go:614,pass,Shuffle data on a per-column basis for retained columns specified in a lookup. The number of input records is capped by configuration. The number of generated output records is also specified by configuration.,-
TransformationSpec,group_by,TransformationSpecGroupBy,type,-,-,yes,no,3,3,workspaces/cedargate_ws/pipes_config/jetrules_test.pc.json,reducing_pipes_config.0.0.apply.0,jets/compute_pipes/pipes_model.go:614,pass,Group the input records into bundles using a composite key. Each output records correspond to a bundle where each element of the output record contains an input record.,-
TransformationSpec,filter,TransformationSpecFilter,type,-,-,yes,no,4,4,workspaces/cedargate_ws/pipes_config/deid.pc.json,conditional_pipes_config.0.pipes_config.0.apply.0,jets/compute_pipes/pipes_model.go:614,pass,"Apply a filter to input records, sending retained records to the output channel. Cap the number of retained records if specified.",-
TransformationSpec,sort,TransformationSpecSort,type,-,-,yes,no,23,22,workspaces/jets_ws/pipes_config/map_entity.pc.json,conditional_pipes_config.1.pipes_config.1.apply.0,jets/compute_pipes/pipes_model.go:614,pass,"Sort the input records in memory, send the sorted records to output channel.",-
TransformationSpec,merge,TransformationSpecMerge,type,-,-,yes,no,9,8,workspaces/jets_ws/pipes_config/patient_profile.pc.json,conditional_pipes_config.6.pipes_config.0.apply.0,jets/compute_pipes/pipes_model.go:614,pass,"Merge sorted records from multiple channels using a grouping composite key. All input channels must be sorted using the same logical sort order. Bundled records are sent to the output channel, each element of the output records correspond to an input record.",-
TransformationSpec,jetrules,TransformationSpecJetrules,type,-,-,yes,no,13,13,workspaces/cedargate_ws/pipes_config/jetrules_test.pc.json,reducing_pipes_config.0.1.apply.0,jets/compute_pipes/pipes_model.go:614,pass,"Input channel contains either individual or bundled input records. Each record or bundle are sent to JetRules as a rule session. Output records are extracted by type from the rule session, each type correspond to an output channel.",-
TransformationSpec,clustering,TransformationSpecClustering,type,-,-,yes,no,0,0,-,-,jets/compute_pipes/pipes_model.go:614,pass,Compute the correlation between sets of columns identified by classification via a lookup table.,"Currently not used in production, keeping for future use."
TransformationSpec,~override,TransformationSpecOverride,type,absent(type),-,yes,no,6,6,workspaces/cedargate_ws/pipes_config/anonymize_file.pc.json,conditional_pipes_config.3.pipes_config.1.apply.0.conditional_config.0.then,jets/compute_pipes/pipes_model.go:614,pass,Fragments of transformation operator to override fields of the host transformation operator.,"Only meaningful at conditional_config.N.then: type absent means a field-level override of the host operator, type set means full replacement (ApplyAllConditionalTransformationSpec, actions_start_common.go:707; MergeTransformationSpec, actions_start_common.go:725). Currently not used in production, keeping for future use. Settled 2026-08-16 (Michel): the fields MergeTransformationSpec leaves unmerged are deliberate, not an omission - merge_config in particular belongs to the merge operator, whose flow bypasses StartComputePipes row-level processing altogether."
OllamaSpec,*,OllamaSpec,-,-,InferCommonSpec,yes,no,0,0,-,-,jets/compute_pipes/pipes_model.go:1258,pass,"Configuration of the ollama transformation operator: model, prompt, response mapping and the request policy.","Exemplar blanked 2026-09-10 (agentic_ai I-598). It named patient_profile's infer step, which became type: infer on 2026-09-05; the path no longer resolves to an ollama step and there is no ollama instance anywhere in the corpus - corpus_instances is 0 and honest. Blanked rather than re-pointed because 28 of the 30 zero-instance types already carry '-' and these two were the only exceptions, so the file's own convention decides it."
EmbedSpec,*,EmbedSpec,-,-,InferCommonSpec,yes,no,0,0,-,-,jets/compute_pipes/pipes_model.go:1551,pass,"Configuration of the embed transformation operator: model, input template, the column the vector lands in and the request policy.","Shares OllamaServerSpec and InferCommonSpec with the ollama operator; the endpoint (/api/embed) is not configurable, see the type's doc block."
VllmSpec,*,VllmSpec,-,-,InferCommonSpec,yes,no,0,0,-,-,jets/compute_pipes/pipes_model.go:1585,pass,"Configuration of the vllm transformation operator: model, route, guided decoding, the prompt and response mapping, and the request policy.","Shares OllamaServerSpec and InferCommonSpec with the ollama operator, so a .pc.json moves between the two by changing the type token and the config element. What is its own is the OpenAI request shape: options are top level, response_format is translated rather than passed through, and there is no keep_alive and no think."
InferMappingSpec,*,InferMappingSpec,-,-,-,yes,no,2,2,workspaces/jets_ws/pipes_config/patient_profile.pc.json,conditional_pipes_config.6.pipes_config.3.apply.0.infer_config.output_mapping.0,jets/compute_pipes/pipes_model.go:1325,pass,Maps one element of the model response to a column of the output record.,-
OllamaServerSpec,*,OllamaServerSpec,-,-,-,yes,no,0,0,-,-,jets/compute_pipes/pipes_model.go:1302,pass,"Specify how to reach the infer server: url, headers",-
PartitionWriterSpec,*,PartitionWriterSpec,-,-,-,yes,no,152,148,workspaces/cedargate_ws/pipes_config/anonymize_file.pc.json,conditional_pipes_config.0.pipes_config.0.apply.0.partition_writer_config,jets/compute_pipes/pipes_model.go:1007,pass,How the partition_writer operator writes its files.,-
MapRecordSpec,*,MapRecordSpec,-,-,-,yes,no,13,12,workspaces/jets_ws/pipes_config/map_entity.pc.json,conditional_pipes_config.1.pipes_config.0.apply.0.map_record_config,jets/compute_pipes/pipes_model.go:676,pass,"Optional configuration for map_record operator: log trace info, read column mapping from db table.",-
AnalyzeSpec,*,AnalyzeSpec,-,-,-,yes,no,4,4,workspaces/cedargate_ws/pipes_config/anonymize_file.pc.json,conditional_pipes_config.1.pipes_config.0.apply.0.analyze_config,jets/compute_pipes/pipes_model.go:702,pass,Configuration of the analyze transformation operator.,-
ColumnNameTokenNode,*,ColumnNameTokenNode,-,-,-,yes,no,2,2,workspaces/cedargate_ws/pipes_config/anonymize_file.pc.json,conditional_pipes_config.1.pipes_config.0.apply.0.analyze_config.column_name_token,jets/compute_pipes/pipes_model.go:721,pass,Configuration for classifying column by name via a lookup.,-
ColumnNameLookupNode,*,ColumnNameLookupNode,-,-,-,yes,no,46,46,workspaces/cedargate_ws/pipes_config/anonymize_file.pc.json,conditional_pipes_config.1.pipes_config.0.apply.0.analyze_config.column_name_token.lookup.0,jets/compute_pipes/pipes_model.go:734,pass,Mapping of column classification name to column name,-
EntityHint,*,EntityHint,-,-,-,yes,no,3,3,workspaces/cedargate_ws/pipes_config/anonymize_file.pc.json,conditional_pipes_config.1.pipes_config.0.apply.0.analyze_config.entity_hints.0,jets/compute_pipes/pipes_model.go:867,pass,"Identify the entity (e.g. provider) the column is associated to by using column name fragments, with exclusions.",-
RegexNode,*,RegexNode,-,-,-,yes,no,33,33,workspaces/cedargate_ws/pipes_config/anonymize_file.pc.json,conditional_pipes_config.1.pipes_config.0.apply.0.analyze_config.regex_tokens.0,jets/compute_pipes/pipes_model.go:874,pass,Ratio of column's data matching a regex expression.,-
LookupTokenNode,*,LookupTokenNode,-,-,-,yes,no,18,18,workspaces/cedargate_ws/pipes_config/anonymize_file.pc.json,conditional_pipes_config.1.pipes_config.0.apply.0.analyze_config.lookup_tokens.0,jets/compute_pipes/pipes_model.go:898,pass,Ratio of column's data matching reference in lookup tables,-
KeywordTokenNode,*,KeywordTokenNode,-,-,-,yes,no,0,0,-,-,jets/compute_pipes/pipes_model.go:906,pass,Ratio of a column's data matching a set of keywords.,-
FunctionTokenNode,parse_date,FunctionTokenNodeParseDate,type,-,-,yes,no,4,4,workspaces/cedargate_ws/pipes_config/anonymize_file.pc.json,conditional_pipes_config.1.pipes_config.0.apply.0.analyze_config.function_tokens.0,jets/compute_pipes/pipes_model.go:916,pass,Function to identify columns containing dates using a date parser with a collection of date formats.,-
FunctionTokenNode,parse_double,FunctionTokenNodeParseDouble,type,-,-,yes,no,4,4,workspaces/cedargate_ws/pipes_config/anonymize_file.pc.json,conditional_pipes_config.1.pipes_config.0.apply.0.analyze_config.function_tokens.1,jets/compute_pipes/pipes_model.go:916,pass,Function to identify columns containing numeric values.,-
FunctionTokenNode,parse_text,FunctionTokenNodeParseText,type,-,-,yes,no,4,4,workspaces/cedargate_ws/pipes_config/anonymize_file.pc.json,conditional_pipes_config.1.pipes_config.0.apply.0.analyze_config.function_tokens.2,jets/compute_pipes/pipes_model.go:916,pass,"Function to identify columns containing textual data, fallback to parse_date and parse_double functions.",-
ParseDateSpec,*,ParseDateSpec,-,-,-,yes,no,4,4,workspaces/cedargate_ws/pipes_config/anonymize_file.pc.json,conditional_pipes_config.1.pipes_config.0.apply.0.analyze_config.function_tokens.0.parse_date_config,jets/compute_pipes/pipes_model.go:942,pass,"Configuration for parse_date function: date formats, null dates, etc.",-
DateFormatLookupSpec,*,DateFormatLookupSpec,-,-,-,yes,no,1,1,workspaces/cedargate_ws/pipes_config/data_profiling.pc.json,conditional_pipes_config.2.pipes_config.0.apply.0.analyze_config.function_tokens.0.parse_date_config.date_format_lookup,jets/compute_pipes/pipes_model.go:955,pass,"Configuration for using a lookup table indicating columns containing dates and their formats, typically using the analyze operator output.",-
ParseDateFTSpec,*,ParseDateFTSpec,-,-,-,yes,no,8,8,workspaces/cedargate_ws/pipes_config/anonymize_file.pc.json,conditional_pipes_config.1.pipes_config.0.apply.0.analyze_config.function_tokens.0.parse_date_config.parse_date_args.0,jets/compute_pipes/pipes_model.go:971,pass,"Identify dates that fall within a specified range, e.g. dob when > 1920 and < 2010.",-
HighFreqSpec,*,HighFreqSpec,-,-,-,yes,no,1,1,workspaces/cedargate_ws/pipes_config/procedure_codes_extract_v1.pc.json,reducing_pipes_config.0.0.apply.0.high_freq_columns.0,jets/compute_pipes/pipes_model.go:993,pass,"Configuration for the high_freq transformation operator: top percentile and rank to keep, optional regex to apply on input data.",-
AnonymizeSpec,anonymization,AnonymizeSpecAnonymization,mode,-,-,yes,no,1,1,workspaces/cedargate_ws/pipes_config/anonymize_file.pc.json,conditional_pipes_config.3.pipes_config.0.apply.0.anonymize_config,jets/compute_pipes/pipes_model.go:1056,pass,"Configuration for the anonymize transformation operator: lookup information indicating how to anonymize, etc.",-
