go_struct,type_token,field_name,json_key,declared_in,go_type,container,ref_struct,values,applicable,required,required_when,default,default_by,evidence,evidence_ref,deprecated,corpus_count,corpus_prod_count,harness,review,reviewed_hash,description,notes
ComputePipesConfig,*,PipesConfig,pipes_config,ComputePipesConfig,[]PipeSpec,array,PipeSpec,-,no,na,-,-,none,builder,jets/compute_pipes/actions_start_sharding_cp.go:358,no,0,0,untestable,reviewed,85c63c219d87,The per-step pipes JetStore writes for itself; never authored.,"Written by JetStore, never by the author: the startup actions marshal the selected step's pipes here for the worker nodes (I-14, finding four). A schema admitting it would permit the runtime shape."
ComputePipesConfig,*,ReducingPipesConfig,reducing_pipes_config,ComputePipesConfig,[][]PipeSpec,array2,PipeSpec,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:24,yes,16,15,pass,reviewed,03746763f49f,The superseded authored form: groups of pipes per reducing step.,"Superseded by conditional_pipes_config (I-14): still valid and in live use (20/49 files), excluded from the fragment library and from generation."
ComputePipesConfig,*,ConditionalPipesConfig,conditional_pipes_config,ComputePipesConfig,[]ConditionalPipeSpec,array,ConditionalPipeSpec,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:25,no,29,28,pass,reviewed,33eb910cd455,"The authored steps, executed conditionally in order.",The authored form: 29/49 live files; none uses both this and reducing_pipes_config.
ComputePipesCommonArgs,*,CpipesMode,cpipes_mode,ComputePipesCommonArgs,string,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/actions_common_model.go:64,no,-,-,untestable,reviewed,177001c7eea5,"The execution phase of this run. Range: sharding, reducing. Set by the start lambdas; drives how the file readers and the coordinator behave.",-
ComputePipesCommonArgs,*,Client,client,ComputePipesCommonArgs,string,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/actions_common_model.go:65,no,-,-,untestable,reviewed,f8a7155d9fcc,"The pipeline execution client, taken from the main input's schema provider. May be a stand-in name; the actual client of the data is then given at run time by the schema providers registered in input_registry.",-
ComputePipesCommonArgs,*,Org,org,ComputePipesCommonArgs,string,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/actions_common_model.go:66,no,-,-,untestable,reviewed,d38b6aaeb6d8,"The pipeline execution org (data vendor), taken from the main input's schema provider. Same stand-in caveat as client.",-
ComputePipesCommonArgs,*,ObjectType,object_type,ComputePipesCommonArgs,string,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/actions_common_model.go:67,no,-,-,untestable,reviewed,cdea3baa63f5,"The object type of the main input, taken from the main input's schema provider.",-
ComputePipesCommonArgs,*,FileKey,file_key,ComputePipesCommonArgs,string,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/actions_common_model.go:68,no,-,-,untestable,reviewed,eb3b9a69f7a1,The S3 key of the main input file of this pipeline execution.,-
ComputePipesCommonArgs,*,SessionId,session_id,ComputePipesCommonArgs,string,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/actions_common_model.go:69,no,-,-,untestable,reviewed,38bd86e22f8f,The unique id of this pipeline execution. Namespaces the stage files (stage_prefix/process_name/session_id/...) and the rows written to the execution-status tables.,-
ComputePipesCommonArgs,*,MainInputStepId,read_step_id,ComputePipesCommonArgs,string,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/actions_common_model.go:70,no,-,-,untestable,reviewed,1efefb1811e9,"The step id whose stage partitions this step reads as its main input. During sharding it is fixed to 'reducing00', and the code fetches main_input_row_count by that name.",-
ComputePipesCommonArgs,*,MergeFiles,merge_files,ComputePipesCommonArgs,bool,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/actions_common_model.go:71,no,-,-,untestable,reviewed,4b5e09af4215,True when the run is at the merge_files stage: a single node concatenates the part files written by the previous step into a single output file.,-
ComputePipesCommonArgs,*,InputSessionId,input_session_id,ComputePipesCommonArgs,string,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/actions_common_model.go:72,no,-,-,untestable,reviewed,98079a919f3a,The session id of the prior pipeline execution that produced this run's input data.,-
ComputePipesCommonArgs,*,SourcePeriodKey,source_period_key,ComputePipesCommonArgs,int,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/actions_common_model.go:73,no,-,-,untestable,reviewed,d5b4c5fa527e,The key into table source_period identifying the period the main input file belongs to.,-
ComputePipesCommonArgs,*,ProcessName,process_name,ComputePipesCommonArgs,string,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/actions_common_model.go:74,no,-,-,untestable,reviewed,e2c474736ac0,"The name of the process being executed, from table process_config. Forms the stage-file path together with session_id.",-
ComputePipesCommonArgs,*,SourcesConfig,sources_config,ComputePipesCommonArgs,SourcesConfigSpec,object,SourcesConfigSpec,-,yes,no,-,-,none,comment,jets/compute_pipes/actions_common_model.go:75,no,-,-,untestable,reviewed,4f561e08f2ef,"Carry-over configuration from table source_config: the main input's columns and domain keys, plus any merged or injected input sources.",-
ComputePipesCommonArgs,*,DomainKeysSpecByClass,domain_keys_by_class,ComputePipesCommonArgs,map[string]*DomainKeysSpec,map,DomainKeysSpec,-,yes,no,-,-,none,comment,jets/compute_pipes/actions_common_model.go:76,no,-,-,untestable,reviewed,2f5f9c01d580,"The domain-keys spec of each domain class in play, loaded from table domain_keys_registry. At DAG construction it supplies the DomainKeySpec of channels declared with a class_name that carry no explicit domain-keys info.",-
ComputePipesCommonArgs,*,PipelineConfigKey,pipeline_config_key,ComputePipesCommonArgs,int,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/actions_common_model.go:77,no,-,-,untestable,reviewed,cd48bf408b80,The key into table pipeline_config for this execution; the jetrules operator uses it to load the rule config.,-
ComputePipesCommonArgs,*,UserEmail,user_email,ComputePipesCommonArgs,string,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/actions_common_model.go:78,no,-,-,untestable,reviewed,ede1a31731ca,The email of the operator who started the pipeline; recorded in the execution-status tables.,-
MetricsSpec,*,Comment,comment,MetricsSpec,string,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:208,no,-,-,pass,reviewed,6e58be3e37a0,Free text for the reader; ignored by JetStore.,-
MetricsSpec,*,ReportInterval,report_interval_sec,MetricsSpec,int,scalar,-,-,yes,no,-,-,none,builder,jets/compute_pipes/compute_pipes.go:390,no,-,-,pass,reviewed,2533b01ed345,Seconds between metric reports.,-
MetricsSpec,*,RuntimeMetrics,runtime_metrics,MetricsSpec,[]Metric,array,Metric,-,yes,no,-,-,none,builder,jets/compute_pipes/runtime_metrics.go:20,no,-,-,pass,reviewed,1c7dbdc90fd4,The metrics to emit.,-
Metric,*,Comment,comment,Metric,string,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:214,no,-,-,pass,reviewed,bcef1a2ba583,Free text for the reader; ignored by JetStore.,-
Metric,*,Type,type,Metric,string,scalar,-,runtime,yes,no,-,-,none,builder,jets/compute_pipes/runtime_metrics.go:23,no,-,-,pass,reviewed,2c24a2812e18,The metric kind; runtime is the only value.,-
Metric,*,Name,name,Metric,string,scalar,-,alloc_mb|total_alloc_mb|sys_mb|nbr_gc,yes,no,-,-,none,builder,jets/compute_pipes/runtime_metrics.go:21,no,-,-,pass,reviewed,6c8f3641f041,"The runtime metric: alloc_mb, total_alloc_mb, sys_mb or nbr_gc.",-
ClusterSpec,*,Comment,comment,ClusterSpec,string,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:143,no,0,0,pass,reviewed,eaba0876afc0,Free text for the reader; ignored by JetStore.,-
ClusterSpec,*,MaxNbrPartitions,max_nbr_partitions,ClusterSpec,int,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:144,no,0,0,pass,reviewed,ad44225f6fb1,Cap on the number of partitions.,"Until 2026-08-16 the Go tag was misspelled max_nbr_partitons (pipes_model.go:135), so the eight qc_* configs writing the correct spelling were silently ignored; the tag is fixed and those keys removed from the configs so no cap activates as a side effect."
ClusterSpec,*,MultiStepShardingThresholds,multi_step_sharding_thresholds,ClusterSpec,int,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:145,no,0,0,pass,reviewed,6a5b8b604b84,[MultiStepShardingThresholds] is the number of partitions to trigger the use of multi step sharding. When [MultiStepShardingThresholds] > 0 then [nbrPartitions] is sqrt(nbr of sharding nodes).,-
ClusterSpec,*,DefaultShardSizeMb,default_shard_size_mb,ClusterSpec,float64,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:146,no,44,42,pass,reviewed,d7a4308d891d,[DefaultShardSizeMb] is the default value (in MB) when not specified at ClusterShardingSpec level.,-
ClusterSpec,*,DefaultShardMaxSizeMb,default_shard_max_size_mb,ClusterSpec,float64,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:147,no,44,42,pass,reviewed,51ded4968621,[DefaultShardMaxSizeMb] is the default value (in MB) when not specified at ClusterShardingSpec level.,-
ClusterSpec,*,DefaultShardSizeBy,default_shard_size_by,ClusterSpec,float64,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:148,no,1,1,pass,reviewed,ceb05931b650,[DefaultShardSizeBy] is the default value (in bytes) when not specified at ClusterShardingSpec level.,"For testing only, per the declaration comment."
ClusterSpec,*,DefaultShardMaxSizeBy,default_shard_max_size_by,ClusterSpec,float64,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:149,no,1,1,pass,reviewed,9ce4ddf233ea,[DefaultShardMaxSizeBy] is the default value (in bytes) when not specified at ClusterShardingSpec level.,"For testing only, per the declaration comment."
ClusterSpec,*,ShardOffset,shard_offset,ClusterSpec,int,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:150,no,33,32,pass,reviewed,78e22d2355cc,Enables splitting large input files into byte-range shards and gives the boundary-alignment window in bytes: a reader whose range starts mid-file scans the first shard_offset bytes of its range for the last end-of-line and starts reading after it. 0 disables file splitting.,-
ClusterSpec,*,DefaultMaxConcurrency,default_max_concurrency,ClusterSpec,int,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:151,no,42,42,pass,reviewed,4ed7dc17a49e,"[DefaultMaxConcurrency] is to override the env var TASK_MAX_CONCURRENCY [nbrPartitions] is specified at ClusterShardingSpec level otherwise at the ClusterSpec level. [nbrPartitions] is determined by the nbr of sharding nodes, capped by MaxNbrPartitions.",-
ClusterSpec,*,S3WorkerPoolSize,s3_worker_pool_size,ClusterSpec,int,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:152,no,42,42,pass,reviewed,bf38b563d521,Worker pool size for s3 operations.,-
ClusterSpec,*,ClusterShardingTiers,cluster_sharding_tiers,ClusterSpec,[]ClusterShardingSpec,array,ClusterShardingSpec,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:153,no,22,22,pass,reviewed,7d3351e1e2b0,Tiered sizing configuration by total input size.,-
ClusterSpec,*,IsDebugMode,is_debug_mode,ClusterSpec,bool,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:154,no,35,33,pass,reviewed,773c95749152,Log trace info.,-
ClusterSpec,*,KillSwitchMin,kill_switch_min,ClusterSpec,int,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:155,no,9,9,pass,reviewed,042f682902f4,Abort the pipeline after this many minutes.,-
ClusterSpec,*,ShardingInfo,sharding_info,ClusterSpec,*ClusterShardingInfo,object,ClusterShardingInfo,-,no,na,-,-,none,comment,jets/compute_pipes/pipes_model.go:156,no,0,0,untestable,reviewed,a752fe071621,[ShardingInfo] is calculated based on input files.,Calculated from the input files; the type comment says outright not to set it at configuration time - it is ignored and replaced.
ClusterShardingSpec,*,Comment,comment,ClusterShardingSpec,string,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:194,no,0,0,pass,reviewed,499b353577c0,Free text for the reader; ignored by JetStore.,-
ClusterShardingSpec,*,AppliesToFormat,applies_to_format,ClusterShardingSpec,string,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:195,no,19,19,pass,reviewed,1fa75424ca90,File format this tier applies to; empty means all formats.,-
ClusterShardingSpec,*,WhenTotalSizeGe,when_total_size_ge_mb,ClusterShardingSpec,int,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:196,no,29,29,pass,reviewed,f2120b74ca77,"WhenTotalSizeGe: Specify the condition for this to be applied in MB (read as ""when total size greater than or equal to""). When using ecs tasks, MaxConcurrency applies to ECS cluster, otherwise MaxConcurrency is the number of concurrent lambda functions executing.",-
ClusterShardingSpec,*,MaxNbrPartitions,max_nbr_partitions,ClusterShardingSpec,int,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:197,no,7,7,pass,reviewed,194579efd83d,Cap on partitions for this tier; defaults to the cluster-level value.,-
ClusterShardingSpec,*,MultiStepShardingThresholds,multi_step_sharding_thresholds,ClusterShardingSpec,int,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:198,no,0,0,pass,reviewed,22d0e3ca6354,Partition count triggering multi-step sharding.,-
ClusterShardingSpec,*,ShardSizeMb,shard_size_mb,ClusterShardingSpec,float64,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:199,no,29,29,pass,reviewed,8ae21ea840b6,Target shard size in MB; must be set for sharding to take place.,-
ClusterShardingSpec,*,ShardMaxSizeMb,shard_max_size_mb,ClusterShardingSpec,float64,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:200,no,29,29,pass,reviewed,a0fd6fe77e07,Max shard size in MB; must be set for sharding to take place.,-
ClusterShardingSpec,*,ShardSizeBy,shard_size_by,ClusterShardingSpec,float64,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:201,no,0,0,pass,reviewed,aacc9e75d41c,Shard size in bytes; for testing only.,-
ClusterShardingSpec,*,ShardMaxSizeBy,shard_max_size_by,ClusterShardingSpec,float64,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:202,no,0,0,pass,reviewed,bba778d9c7e2,Max shard size in bytes; for testing only.,-
ClusterShardingSpec,*,S3WorkerPoolSize,s3_worker_pool_size,ClusterShardingSpec,int,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:203,no,7,7,pass,reviewed,bebc7384d33d,Worker pool size for s3 operations (used by reducing01).,-
ClusterShardingSpec,*,MaxConcurrency,max_concurrency,ClusterShardingSpec,int,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:204,no,7,7,pass,reviewed,8d04f009e68d,"Max concurrent nodes: ECS cluster tasks, or lambdas otherwise.",-
ClusterShardingInfo,*,TotalFileSize,total_file_size,ClusterShardingInfo,int64,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/actions_common_model.go:37,no,-,-,untestable,reviewed,a45f035b71c6,Total input size in bytes; calculated at sharding.,-
ClusterShardingInfo,*,MaxNbrPartitions,max_nbr_partitions,ClusterShardingInfo,int,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/actions_common_model.go:38,no,-,-,untestable,reviewed,b3c90a8fa66b,Cap on the number of partitions.,-
ClusterShardingInfo,*,NbrPartitions,nbr_partitions,ClusterShardingInfo,int,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/actions_common_model.go:39,no,-,-,untestable,reviewed,3c3b1a86bf39,Nbr of partitions; calculated at sharding.,-
ClusterShardingInfo,*,MultiStepSharding,multi_step_sharding,ClusterShardingInfo,int,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/actions_common_model.go:40,no,-,-,untestable,reviewed,565e045fe5d9,Multi-step sharding indicator; calculated at sharding.,-
TableSpec,*,Comment,comment,TableSpec,string,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:493,no,0,0,pass,reviewed,9e289bbd0d01,Free text for the reader; ignored by JetStore.,-
TableSpec,*,Key,key,TableSpec,string,scalar,-,-,yes,yes,-,-,none,builder,jets/compute_pipes/actions_start_common.go:789,no,40,40,untestable,reviewed,a95143fb12bb,Key is the table key for reference by compute pipes steps,-
TableSpec,*,Name,name,TableSpec,string,scalar,-,-,yes,yes,-,-,none,comment,jets/compute_pipes/pipes_model.go:495,no,40,40,untestable,reviewed,09f033cd3a58,"Name is the table name for reference by compute pipes steps, env var replacement used for table name (e.g., ${CLIENT}_${OBJECT_TYPE})",required ruled by Michel 2026-08-16 (bucket-1 review); row awaits full B.8 review for the reviewed tick.
TableSpec,*,CheckSchemaChanged,check_schema_changed,TableSpec,bool,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:496,no,4,4,pass,reviewed,9071a40cb4bb,Verify whether the table schema changed before the load.,-
TableSpec,*,Columns,columns,TableSpec,[]TableColumnSpec,array,TableColumnSpec,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:497,no,5,5,pass,reviewed,7aa1bff97f68,Column metadata of the table.,-
TableSpec,*,ChannelSpecName,channel_spec_name,TableSpec,string,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:498,no,39,39,pass,reviewed,5cd02c2a3b9e,ChannelSpecName specify the channel spec. Column provides metadata info,-
TableColumnSpec,*,Comment,comment,TableColumnSpec,string,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:547,no,0,0,pass,reviewed,e1f8e62ed4f6,Free text for the reader; ignored by JetStore.,-
TableColumnSpec,*,Name,name,TableColumnSpec,string,scalar,-,-,yes,yes,-,-,none,comment,jets/compute_pipes/pipes_model.go:548,no,216,216,untestable,reviewed,471cd797c42b,Column name.,required ruled by Michel 2026-08-16 (bucket-1 review); row awaits full B.8 review for the reviewed tick.
TableColumnSpec,*,RdfType,rdf_type,TableColumnSpec,string,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:549,no,216,216,pass,reviewed,7f105694b8a2,The column's rdf type.,-
TableColumnSpec,*,IsArray,as_array,TableColumnSpec,bool,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:550,no,14,14,pass,reviewed,c2d646505453,The column holds an array.,-
OutputFileSpec,*,Comment,comment,OutputFileSpec,string,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:502,no,0,0,pass,reviewed,7b85949991f3,Free text for the reader; ignored by JetStore.,-
OutputFileSpec,*,BadRowsConfig,bad_rows_config,FileConfig,*BadRowsSpec,object,BadRowsSpec,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:312,no,0,0,pass,reviewed,1b989047ef0f,How to identify and route bad input rows.,-
OutputFileSpec,*,BlankFieldMarkers,blank_field_markers,FileConfig,*BlankFieldMarkersSpec,object,BlankFieldMarkersSpec,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:313,no,0,0,pass,reviewed,081deab41d40,Marker texts treated as blank (null) values.,-
OutputFileSpec,*,Bucket,bucket,FileConfig,string,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:314,no,6,6,pass,reviewed,df75d91ed208,S3 bucket holding the file.,-
OutputFileSpec,*,Compression,compression,FileConfig,string,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:315,no,0,0,pass,reviewed,b360975f8297,File compression: none or snappy.,-
OutputFileSpec,*,Delimiter,delimiter,FileConfig,rune,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:316,no,0,0,pass,reviewed,0e7132353af6,"Field delimiter, as a code point (a json number).",-
OutputFileSpec,*,DetectCrAsEol,detect_cr_as_eol,FileConfig,bool,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:317,no,0,0,pass,reviewed,dfe4744336b0,"Detect whether \r is used as eol (csv, headerless_csv).",-
OutputFileSpec,*,DetectEncoding,detect_encoding,FileConfig,bool,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:318,no,0,0,pass,reviewed,39692bf5b8eb,"Detect the file encoding (limited), for text formats.",-
OutputFileSpec,*,DiscardFileHeaders,discard_file_headers,FileConfig,bool,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:319,no,0,0,pass,reviewed,089f25e1c597,Discard the input file's headers; headers then come from the configuration or the schema provider.,-
OutputFileSpec,*,DomainClass,domain_class,FileConfig,string,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:320,no,0,0,pass,reviewed,1939687075bb,Domain class of the records.,-
OutputFileSpec,*,DomainKeys,domain_keys,FileConfig,map[string]any,map,-,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:321,no,0,0,pass,reviewed,31525da329ea,Domain key configuration for the records.,-
OutputFileSpec,*,DropExcedentHeaders,drop_excedent_headers,FileConfig,bool,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:322,no,0,0,pass,reviewed,05b9764d9101,Drop headers beyond the configured columns.,-
OutputFileSpec,*,Encoding,encoding,FileConfig,string,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:323,no,0,0,pass,reviewed,66436c619451,Character encoding of the file.,-
OutputFileSpec,*,EnforceRowMaxLength,enforce_row_max_length,FileConfig,bool,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:324,no,0,0,pass,reviewed,c4e01b4a5e4b,Fail rows with extra characters past the last field (text formats).,-
OutputFileSpec,*,EnforceRowMinLength,enforce_row_min_length,FileConfig,bool,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:325,no,0,0,pass,reviewed,13d058a6cdfb,Require all columns in the input record; otherwise missing columns are null (text formats).,-
OutputFileSpec,*,EolByte,eol_byte,FileConfig,byte,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:326,no,0,0,pass,reviewed,8b083b312d62,"Byte to use as eol (csv, headerless_csv).",-
OutputFileSpec,*,FailOnEmptyColumnName,fail_on_empty_column_name,FileConfig,bool,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:327,no,0,0,pass,reviewed,078899195343,"Fail when a column name is empty (csv), preventing a data row from standing as headers.",-
OutputFileSpec,*,FileKey,file_key,FileConfig,string,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:328,no,0,0,pass,reviewed,e8585414d969,"S3 object key of the file, or its directory when is_part_files; on output configs this is the output location.",-
OutputFileSpec,*,LookbackPeriods,lookback_periods,FileConfig,string,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:329,no,0,0,pass,reviewed,cc6a6fe6f59a,"Reads earlier source periods when the input is selected by explicit file_key from the stage area: the key is expanded once per period, substituting ${PERIOD_ID}, and the file listings are concatenated. Format: 'N' reads the current period plus N periods back; 'offset:last' reads current-offset back through current-last ('1:1' is the previous period only). Values may reference env vars; ${PERIOD_ID_TYPE} must name the current period id in the env.",-
OutputFileSpec,*,FileName,file_name,FileConfig,string,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:330,no,0,0,pass,reviewed,3b8e7de7f117,File name of the output file (type output).,-
OutputFileSpec,*,FixedWidthColumnsCsv,fixed_width_columns_csv,FileConfig,string,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:331,no,0,0,pass,reviewed,3a36cc0bd814,"Column names and offsets for the fixed_width format, as csv text.",-
OutputFileSpec,*,Format,format,FileConfig,string,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:332,no,0,0,pass,reviewed,fc1a5a02498d,"File format: csv, headerless_csv, fixed_width, parquet, etc.",-
OutputFileSpec,*,InputFormatDataJson,input_format_data_json,FileConfig,string,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:333,no,0,0,pass,reviewed,831cfbbde70c,"Format-specific reader config as json, eg the sheet name for xlsx.",-
OutputFileSpec,*,IsPartFiles,is_part_files,FileConfig,bool,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:334,no,0,0,pass,reviewed,16406906ae50,The file key is a directory of part files rather than a single file.,-
